City,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL,Year
BLUEBELL,,,,0,0,22,0,,,0,,0,,22,2019
BLUEBELL,,,,2,0,198,1,,,0,,0,,223,2019
BLUEBELL,,,,145,0,253,0,,,0,,0,,429,2019
BLUEBELL,,,,32,0,1,0,,,0,,0,,33,2019
BLUFF,,,,0,0,10,0,,,0,,0,,10,2019
BLUFF,,,,2,0,195,7,,,0,,0,,221,2019
BLUFF,,,,47,0,283,2,,,0,,0,,380,2019
BLUFF,,,,4,0,2,0,,,0,,0,,6,2019
BLUFFDALE,,,,0,0,307,0,,,0,,0,,307,2019
BLUFFDALE,,,,0,1,0,0,,,0,,0,,1,2019
BLUFFDALE,,,,35,28,4011,99,,,0,,0,,4389,2019
BLUFFDALE,,,,956,2,3307,30,,,0,,1,,4867,2019
BLUFFDALE,,,,311,0,65,0,,,0,,0,,376,2019
BOULDER,,,,0,0,9,0,,,0,,0,,9,2019
BOULDER,,,,3,1,128,3,,,0,,0,,140,2019
BOULDER,,,,41,0,194,0,,,0,,0,,257,2019
BOULDER,,,,5,0,0,0,,,0,,0,,5,2019
BOUNTIFUL,,,,0,0,1285,0,,,0,,0,,1286,2019
BOUNTIFUL,,,,88,84,18657,500,,,0,,1,,20172,2019
BOUNTIFUL,,,,958,7,11416,142,,,0,,0,,14043,2019
BOUNTIFUL,,,,197,0,124,0,,,0,,0,,324,2019
BRIAN HEAD,,,,0,0,19,0,,,0,,0,,19,2019
BRIAN HEAD,,,,4,0,78,5,,,0,,0,,92,2019
BRIAN HEAD,,,,41,0,146,0,,,0,,0,,201,2019
BRIAN HEAD,,,,9,0,1,0,,,0,,0,,10,2019
BRIGHAM CITY,,,,0,1,652,0,,,0,,0,,653,2019
BRIGHAM CITY,,,,74,7,10100,170,,,0,,0,,10967,2019
BRIGHAM CITY,,,,1305,0,6136,30,,,0,,0,,8471,2019
BRIGHAM CITY,,,,758,0,170,0,,,0,,0,,949,2019
BRIGHTON,,,,0,0,29,0,,,0,,0,,29,2019
BRIGHTON,,,,1,1,124,2,,,0,,0,,134,2019
BRIGHTON,,,,20,1,169,2,,,0,,0,,214,2019
BRIGHTON,,,,2,0,2,0,,,0,,0,,5,2019
BROOKSIDE,,,,0,0,21,0,,,0,,0,,21,2019
