Year,City,Vehicle Type,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
2021,TABIONA,Heavy Truck,0,0,46,0,4,0,0,0,0,0,0,0,50
2021,TALMAGE,Motorcycle - Standard,0,0,0,0,6,0,0,0,0,0,0,0,6
2021,TALMAGE,Passenger - Standard,0,0,0,0,91,1,0,0,0,0,0,0,92
2021,TALMAGE,Light Truck,0,0,77,0,161,0,0,0,0,0,0,0,238
2021,TALMAGE,Heavy Truck,0,0,21,0,4,0,0,0,0,0,0,0,25
2021,TAYLOR,Motorcycle - Standard,0,0,0,0,31,0,0,0,0,0,0,0,31
2021,TAYLOR,Passenger - Standard,0,1,3,1,263,6,0,0,0,0,0,0,274
2021,TAYLOR,Light Truck,0,2,120,0,289,2,0,0,0,0,0,0,413
2021,TAYLOR,Heavy Truck,0,0,17,0,6,0,0,0,0,0,0,0,23
2021,TAYLORSVILLE,Motorcycle - Standard,0,1,0,1,1207,0,0,0,0,0,0,0,1209
2021,TAYLORSVILLE,Passenger - Standard,0,38,96,78,20423,492,0,0,0,57,0,0,21184
2021,TAYLORSVILLE,Light Truck,0,25,1288,12,15613,146,0,0,0,2,0,0,17086
2021,TAYLORSVILLE,Heavy Truck,0,0,466,0,187,0,0,0,0,0,1,0,654
2021,TEASDALE,Motorcycle - Standard,0,0,0,0,11,0,0,0,0,0,0,0,11
2021,TEASDALE,Passenger - Standard,0,0,4,0,125,0,0,0,0,0,0,0,129
2021,TEASDALE,Light Truck,0,0,72,0,213,2,0,0,0,0,0,0,287
2021,TEASDALE,Heavy Truck,0,0,1,0,4,0,0,0,0,0,0,0,5
2021,THATCHER,Motorcycle - Standard,0,0,0,0,11,0,0,0,0,0,0,0,11
2021,THATCHER,Passenger - Standard,0,1,4,0,156,3,0,0,0,2,0,0,166
2021,THATCHER,Light Truck,0,0,56,0,148,0,0,0,0,0,0,0,204
2021,THATCHER,Heavy Truck,0,0,11,0,0,0,0,0,0,0,0,0,11
2021,TOOELE,Motorcycle - Standard,0,0,0,0,1192,0,0,0,0,0,0,0,1192
2021,TOOELE,Passenger - Low Speed,0,0,0,1,0,0,0,0,0,0,0,0,1
2021,TOOELE,Passenger - Standard,0,29,200,31,17931,352,0,0,0,42,0,0,18585
2021,TOOELE,Light Truck,0,28,2585,6,14129,71,0,0,0,3,0,0,16822
2021,TOOELE,Heavy Truck,0,1,615,0,194,0,0,0,0,0,0,0,810
2021,TOQUERVILLE,Motorcycle - Standard,0,0,0,0,90,0,0,0,0,0,0,0,90
