City and Vehicle Type,,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
WELLINGTON,Motorcycle - Standard,0,0,0,0,0,49,0,0,0,0,0,0,0,49
,Passenger - Standard,0,0,1,5,3,693,14,0,0,0,1,0,0,717
,Light Truck,0,0,2,261,1,868,3,0,0,0,1,0,0,"1,136"
,Heavy Truck,0,0,0,83,0,11,0,0,0,0,0,0,0,94
WELLSVILLE,Motorcycle - Standard,0,0,0,0,0,219,0,0,0,0,0,0,0,219
,Passenger - Standard,0,0,11,30,21,"1,717",61,0,0,0,7,0,0,"1,847"
,Light Truck,0,0,1,595,18,"2,907",52,0,0,0,6,0,0,"3,579"
,Heavy Truck,0,0,0,359,0,29,0,0,0,0,0,0,0,388
WENDOVER,Motorcycle - Standard,0,0,0,0,0,6,0,0,0,0,0,0,0,6
,Passenger - Standard,0,0,1,1,0,487,6,0,0,0,1,0,0,496
,Light Truck,0,0,1,55,0,503,3,0,0,0,0,0,0,562
,Heavy Truck,0,0,0,30,0,2,0,0,0,0,0,1,0,33
WEST BOUNTIFUL,Motorcycle - Standard,0,0,0,0,3,338,0,0,0,0,0,0,0,341
,Passenger - Standard,0,0,6,24,38,"2,328",93,0,0,0,15,0,0,"2,504"
,Light Truck,0,0,7,436,54,"3,683",101,0,0,0,20,0,0,"4,301"
,Heavy Truck,0,0,0,196,0,42,0,0,0,0,0,0,0,238
WEST HAVEN,Motorcycle - Standard,0,0,0,0,4,653,0,0,0,0,0,0,0,657
,Passenger - Standard,0,0,10,54,89,"5,797",200,0,0,0,27,0,0,"6,177"
,Light Truck,0,0,8,"1,525",94,"7,743",222,0,0,0,32,0,0,"9,624"
,Heavy Truck,0,0,22,669,0,142,0,0,0,0,0,1,0,834
WEST JORDAN,Motorcycle - Standard,0,0,0,0,4,"2,730",0,0,0,0,0,0,0,"2,734"
,Passenger - Standard,0,0,65,204,441,"39,220","1,146",0,1,1,130,0,0,"41,208"
,Light Truck,0,0,73,"4,531",473,"43,216",937,0,0,0,140,0,0,"49,370"
,Heavy Truck,0,0,199,"1,722",0,532,0,0,0,0,0,0,0,"2,453"
WEST POINT,Motorcycle - Standard,0,0,0,0,1,347,0,0,0,1,0,0,0,349
,Passenger - Standard,0,0,2,26,37,"3,338",110,0,0,0,5,0,0,"3,518"
,Light Truck,0,0,7,575,39,"3,992",76,0,0,0,11,0,0,"4,700"
,Heavy Truck,0,0,0,98,0,48,0,0,0,0,0,0,0,146
WEST VALLEY CITY,Motorcycle - Standard,0,0,0,0,6,"2,302",0,0,0,0,0,0,0,"2,308"
