Year,City,Vehicle Type,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
2020,NAPLES,Motorcycle - Standard,0,0,0,0,8,0,0,0,0,0,0,8
2020,NAPLES,Passenger - Standard,0,0,0,0,95,0,0,0,0,0,0,95
2020,NAPLES,Light Truck,0,0,43,0,152,0,0,0,0,0,0,195
2020,NAPLES,Heavy Truck,0,0,66,0,1,0,0,0,0,0,0,67
2020,NEOLA,Motorcycle - Standard,0,0,0,0,19,0,0,0,0,0,0,19
2020,NEOLA,Passenger - Standard,0,0,2,0,254,0,0,0,1,0,0,257
2020,NEOLA,Light Truck,0,0,167,0,345,0,0,0,0,0,0,512
2020,NEOLA,Heavy Truck,0,0,61,0,3,0,0,0,0,0,0,64
2020,NEPHI,Motorcycle - Standard,0,0,0,1,206,0,0,0,0,0,0,207
2020,NEPHI,Passenger - Standard,0,15,45,3,3294,67,0,0,4,0,0,3428
2020,NEPHI,Light Truck,0,11,1078,0,2883,4,0,0,0,0,0,3976
2020,NEPHI,Heavy Truck,0,2,462,0,93,0,0,0,0,1,0,558
2020,NEW HARMONY,Motorcycle - Standard,0,0,0,0,75,0,0,0,0,0,0,75
2020,NEW HARMONY,Passenger - Standard,0,7,20,7,589,31,0,0,4,0,0,658
2020,NEW HARMONY,Light Truck,0,5,252,1,865,8,0,0,0,0,0,1131
2020,NEW HARMONY,Heavy Truck,0,0,32,0,19,0,0,0,0,0,0,51
2020,NEWCASTLE,Motorcycle - Standard,0,0,0,0,6,0,0,0,0,0,0,6
2020,NEWCASTLE,Passenger - Standard,0,0,6,0,135,2,0,0,0,0,0,143
2020,NEWCASTLE,Light Truck,0,1,72,0,151,2,0,0,0,0,0,226
2020,NEWCASTLE,Heavy Truck,0,0,23,0,1,0,0,0,0,0,0,24
2020,NEWTON,Motorcycle - Standard,0,0,0,0,16,0,0,0,0,0,0,16
2020,NEWTON,Passenger - Standard,0,1,4,1,380,14,0,0,3,0,0,403
2020,NEWTON,Light Truck,0,0,86,1,379,1,0,0,0,0,0,467
2020,NEWTON,Heavy Truck,0,0,24,0,15,0,0,0,0,0,0,39
2020,NIBLEY,Motorcycle - Standard,0,0,0,0,153,0,0,0,0,0,0,153
2020,NIBLEY,Passenger - Standard,0,8,18,7,1886,32,0,0,9,0,0,1960
2020,NIBLEY,Light Truck,0,2,238,1,1967,13,0,0,0,0,0,2221
2020,NIBLEY,Heavy Truck,0,0,50,0,13,0,0,0,0,0,0,63
2020,NORTH LOGAN,Motorcycle - Standard,0,0,0,1,189,0,0,0,0,0,0,190
2020,NORTH LOGAN,Passenger - Standard,0,4,19,22,2038,57,0,0,5,0,0,2145
2020,NORTH LOGAN,Light Truck,0,4,180,0,1828,18,0,0,3,0,0,2033
2020,NORTH LOGAN,Heavy Truck,0,0,73,0,61,0,0,0,0,0,0,134
2020,NORTH OGDEN,Motorcycle - Standard,0,0,0,0,237,0,0,0,0,0,0,237
2020,NORTH OGDEN,Passenger - Standard,0,15,27,11,3504,78,0,0,12,0,0,3647
2020,NORTH OGDEN,Light Truck,0,5,394,3,2838,21,0,0,1,0,0,3262
2020,NORTH OGDEN,Heavy Truck,0,0,87,0,28,0,0,0,0,0,0,115
2020,NORTH SALT LAKE,Motorcycle - Standard,0,0,0,2,474,0,0,0,0,0,0,476
2020,NORTH SALT LAKE,Passenger - Standard,0,20,76,77,7788,213,0,1,38,0,0,8213
2020,NORTH SALT LAKE,Light Truck,0,19,545,9,7442,89,0,0,5,0,0,8109
2020,NORTH SALT LAKE,Heavy Truck,0,1,775,0,175,0,0,0,0,0,0,951
2020,OAK CITY,Motorcycle - Standard,0,0,0,0,30,0,0,0,0,0,0,30
2020,OAK CITY,Passenger - Standard,0,2,11,1,428,5,0,0,0,0,0,447
2020,OAK CITY,Light Truck,0,0,134,0,348,2,0,0,0,0,0,484
2020,OAK CITY,Heavy Truck,0,0,15,0,4,0,0,0,0,0,0,19
2020,OAKLEY,Motorcycle - Standard,0,0,0,1,83,0,0,0,0,0,0,84
2020,OAKLEY,Passenger - Standard,0,2,11,2,795,18,0,0,4,0,0,832
2020,OAKLEY,Light Truck,0,2,308,1,1012,8,0,0,2,0,0,1333
2020,OAKLEY,Heavy Truck,0,0,77,0,25,0,0,0,0,0,0,102
2020,OGDEN,Motorcycle - Standard,0,0,0,4,3239,0,0,3,0,0,0,3246
2020,OGDEN,Passenger - Low Speed,0,0,0,2,0,0,0,0,0,0,0,2
2020,OGDEN,Passenger - Standard,0,100,379,175,51144,1016,0,1,115,0,0,52930
2020,OGDEN,Light Truck,0,78,4791,12,40841,319,0,0,5,0,0,46046
2020,OGDEN,Heavy Truck,0,17,3154,0,621,0,0,1,0,0,0,3793
2020,ORANGEVILLE,Motorcycle - Standard,0,0,0,0,35,0,0,0,0,0,0,35
2020,ORANGEVILLE,Passenger - Standard,0,1,5,0,589,9,0,0,2,0,0,606
2020,ORANGEVILLE,Light Truck,0,3,183,0,699,0,0,0,0,0,0,885
2020,ORANGEVILLE,Heavy Truck,0,0,57,0,6,0,0,0,0,0,0,63
2020,ORDERVILLE,Motorcycle - Standard,0,0,0,0,15,0,0,0,0,0,0,15
2020,ORDERVILLE,Passenger - Standard,0,0,4,0,235,5,0,0,0,0,0,244
2020,ORDERVILLE,Light Truck,0,0,81,0,320,0,0,0,0,1,0,402
2020,ORDERVILLE,Heavy Truck,0,0,25,0,5,0,0,0,0,0,0,30
2020,OREM,Motorcycle - Standard,0,0,0,5,1919,0,0,0,0,0,0,1924
2020,OREM,Passenger - Low Speed,0,0,0,1,1,0,0,0,0,0,0,2
2020,OREM,Passenger - Standard,0,115,282,155,37872,1139,0,0,117,1,0,39681
2020,OREM,Light Truck,0,53,1793,22,24961,259,0,0,17,0,0,27105
2020,OREM,Heavy Truck,0,48,1538,0,479,0,0,0,0,0,0,2065
2020,PANGUITCH,Motorcycle - Standard,0,0,0,0,50,0,0,0,0,0,0,50
2020,PANGUITCH,Passenger - Low Speed,0,0,0,1,1,0,0,0,0,0,0,2
2020,PANGUITCH,Passenger - Standard,0,2,10,0,881,6,0,0,0,0,0,899
2020,PANGUITCH,Light Truck,0,6,335,0,1249,1,0,0,0,0,0,1591
2020,PANGUITCH,Heavy Truck,0,0,142,0,19,0,0,0,0,0,0,161
2020,PARADISE,Motorcycle - Standard,0,0,0,0,56,0,0,0,0,0,0,56
2020,PARADISE,Passenger - Standard,0,4,15,2,689,12,0,0,1,0,0,723
2020,PARADISE,Light Truck,0,4,203,1,794,3,0,0,0,0,0,1005
2020,PARADISE,Heavy Truck,0,1,43,0,8,0,0,0,0,0,0,52
2020,PARAGONAH,Motorcycle - Standard,0,0,0,0,18,0,0,0,0,0,0,18
2020,PARAGONAH,Passenger - Standard,0,0,10,0,266,4,0,0,0,0,0,280
