Year,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2020,"Salt Lake City, UT",41620,9/9/2020,43,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,9/10/2020,54,Moderate,Ozone,49-035-4002,8
2020,"Salt Lake City, UT",41620,9/11/2020,67,Moderate,Ozone,49-035-3014,9
2020,"Salt Lake City, UT",41620,9/12/2020,71,Moderate,Ozone,49-035-0015,9
2020,"Salt Lake City, UT",41620,9/13/2020,65,Moderate,PM2.5,49-035-4002,9
2020,"Salt Lake City, UT",41620,9/14/2020,54,Moderate,PM2.5,49-035-4002,9
2020,"Salt Lake City, UT",41620,9/15/2020,62,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,9/16/2020,66,Moderate,PM2.5,49-035-4002,9
2020,"Salt Lake City, UT",41620,9/17/2020,74,Moderate,Ozone,49-035-3014,9
2020,"Salt Lake City, UT",41620,9/18/2020,69,Moderate,PM2.5,49-035-4002,9
2020,"Salt Lake City, UT",41620,9/19/2020,80,Moderate,PM2.5,49-035-3013,9
2020,"Salt Lake City, UT",41620,9/20/2020,72,Moderate,PM2.5,49-035-3013,9
2020,"Salt Lake City, UT",41620,9/21/2020,90,Moderate,Ozone,49-035-3014,9
2020,"Salt Lake City, UT",41620,9/22/2020,75,Moderate,PM2.5,49-035-3015,9
2020,"Salt Lake City, UT",41620,9/23/2020,66,Moderate,PM2.5,49-035-4002,9
2020,"Salt Lake City, UT",41620,9/24/2020,81,Moderate,PM2.5,49-045-0004,9
2020,"Salt Lake City, UT",41620,9/25/2020,87,Moderate,PM2.5,49-035-4002,9
2020,"Salt Lake City, UT",41620,9/26/2020,57,Moderate,PM2.5,49-035-4002,9
2020,"Salt Lake City, UT",41620,9/27/2020,45,Good,Ozone,49-035-0015,9
2020,"Salt Lake City, UT",41620,9/28/2020,47,Good,Ozone,49-035-0015,9
2020,"Salt Lake City, UT",41620,9/29/2020,55,Moderate,PM10,49-035-3013,9
2020,"Salt Lake City, UT",41620,9/30/2020,60,Moderate,PM10,49-035-3013,9
2020,"Salt Lake City, UT",41620,10/1/2020,55,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/2/2020,60,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/3/2020,75,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/4/2020,90,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/5/2020,79,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/6/2020,94,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/7/2020,104,Unhealthy for Sensitive Groups,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/8/2020,74,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/9/2020,65,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/10/2020,80,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,10/11/2020,64,Moderate,PM2.5,49-035-3010,8
2020,"Salt Lake City, UT",41620,10/12/2020,51,Moderate,PM2.5,49-035-3010,8
2020,"Salt Lake City, UT",41620,10/13/2020,70,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,10/14/2020,45,Good,PM2.5,49-035-3010,8
2020,"Salt Lake City, UT",41620,10/15/2020,49,Good,PM2.5,49-035-3010,8
2020,"Salt Lake City, UT",41620,10/16/2020,52,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/17/2020,73,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,10/18/2020,68,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,10/19/2020,57,Moderate,PM2.5,49-045-0004,8
2020,"Salt Lake City, UT",41620,10/20/2020,46,Good,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/21/2020,51,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/22/2020,42,Good,Ozone,49-035-3006,8
2020,"Salt Lake City, UT",41620,10/23/2020,55,Moderate,PM2.5,49-035-4002,8
2020,"Salt Lake City, UT",41620,10/24/2020,58,Moderate,PM2.5,49-035-4002,8
