City,Vehicle Type,Alcohol,Butane,Compressed Natural Gas,Diesel,Electric,Gasoline,Hybrid,Hydrogen,Liquefied Natural Gas,Other,Plug-in Hybrid,Propane,Steam,TOTAL
TOQUERVILLE,Motorcycle - Standard,0,0,0,0,0,119,0,0,0,0,0,0,0,119
TOQUERVILLE,Passenger - Standard,0,0,7,15,9,707,48,0,0,0,4,0,0,790
TOQUERVILLE,Light Truck,0,0,3,202,6,945,17,0,0,0,1,0,0,1174
TOQUERVILLE,Heavy Truck,0,0,0,33,0,16,0,0,0,0,0,0,0,49
TORREY,Motorcycle - Standard,0,0,0,0,0,36,0,0,0,0,0,0,0,36
TORREY,Passenger - Standard,0,0,0,6,2,206,12,0,0,0,1,0,0,227
TORREY,Light Truck,0,0,0,99,0,364,2,0,0,0,0,0,0,465
TORREY,Heavy Truck,0,0,0,14,0,3,0,0,0,0,0,0,0,17
TREMONTON,Motorcycle - Standard,0,0,0,0,0,402,0,0,0,0,0,0,0,402
TREMONTON,Passenger - Standard,0,0,25,94,20,5171,135,0,0,0,17,0,0,5462
TREMONTON,Light Truck,0,0,9,1761,12,5780,63,0,0,0,3,0,0,7628
TREMONTON,Heavy Truck,0,0,0,645,0,95,0,0,0,0,0,0,0,740
TRENTON,Motorcycle - Standard,0,0,0,0,0,10,0,0,0,0,0,0,0,10
TRENTON,Passenger - Standard,0,0,0,1,1,188,4,0,0,0,0,0,0,194
TRENTON,Light Truck,0,0,0,54,0,241,3,0,0,0,0,0,0,298
TRENTON,Heavy Truck,0,0,0,31,0,3,0,0,0,0,0,0,0,34
TRIDELL,Motorcycle - Standard,0,0,0,0,0,11,0,0,0,0,0,0,0,11
TRIDELL,Passenger - Standard,0,0,0,0,0,136,1,0,0,0,0,0,0,137
TRIDELL,Light Truck,0,0,0,38,0,194,1,0,0,0,0,0,0,233
TRIDELL,Heavy Truck,0,0,0,12,0,0,0,0,0,0,0,0,0,12
